@relation 'numberLight'
@attribute vendor {0,1,2,3,4,5,6,7,8,9}
@attribute light_angle0 real
@attribute light_angle5 real
@attribute light_angle10 real
@attribute light_angle15 real
@attribute light_angle20 real
@attribute light_angle25 real
@attribute light_angle30 real
@attribute light_angle35 real
@attribute light_angle40 real
@attribute light_angle45 real
@attribute light_angle50 real
@attribute light_angle55 real
@attribute light_angle60 real
@attribute light_angle65 real
@attribute light_angle70 real
@attribute light_angle75 real
@attribute light_angle80 real
@attribute light_angle85 real
@attribute light_angle90 real
@attribute light_angle95 real
@attribute light_angle100 real
@attribute light_angle105 real
@attribute light_angle110 real
@attribute light_angle115 real
@attribute light_angle120 real
@attribute light_angle125 real
@attribute light_angle130 real
@attribute light_angle135 real
@attribute light_angle140 real
@attribute light_angle145 real
@attribute light_angle150 real
@attribute light_angle155 real
@attribute light_angle160 real
@attribute light_angle165 real
@attribute light_angle170 real
@attribute light_angle175 real
@attribute light_angle180 real
@attribute light_angle185 real
@attribute light_angle190 real
@attribute light_angle195 real
@attribute light_angle200 real
@attribute light_angle205 real
@attribute light_angle210 real
@attribute light_angle215 real
@attribute light_angle220 real
@attribute light_angle225 real
@attribute light_angle230 real
@attribute light_angle235 real
@attribute light_angle240 real
@attribute light_angle245 real
@attribute light_angle250 real
@attribute light_angle255 real
@attribute light_angle260 real
@attribute light_angle265 real
@attribute light_angle270 real
@attribute light_angle275 real
@attribute light_angle280 real
@attribute light_angle285 real
@attribute light_angle290 real
@attribute light_angle295 real
@attribute light_angle300 real
@attribute light_angle305 real
@attribute light_angle310 real
@attribute light_angle315 real
@attribute light_angle320 real
@attribute light_angle325 real
@attribute light_angle330 real
@attribute light_angle335 real
@attribute light_angle340 real
@attribute light_angle345 real
@attribute light_angle350 real
@attribute light_angle355 real

@data
5,307,296,276,199,184,218,260,389,440,451,446,447,448,447,456,445,448,450,449,446,452,430,448,438,447,437,435,428,359,345,221,203,150,177,140,147,159,169,187,199,190,147,156,143,153,143,170,285,419,439,444,447,445,445,451,451,454,455,452,451,450,431,395,294,198,179,181,152,172,210,272,297
6,159,146,164,164,150,144,139,129,136,144,396,383,433,435,449,449,454,458,458,448,427,424,332,348,262,235,187,185,149,155,146,150,157,157,169,183,221,236,331,316,369,431,421,437,440,455,451,450,445,458,455,453,460,460,451,455,456,469,455,456,451,444,444,444,447,436,412,339,270,195,166,160
7,248,242,211,183,157,173,146,277,438,441,453,460,459,459,456,462,456,466,454,463,468,446,462,459,456,463,455,457,463,460,465,474,473,474,470,471,450,330,225,203,194,251,363,387,455,463,475,470,457,467,459,462,469,458,460,461,457,471,471,462,462,451,421,283,208,204,156,150,143,165,210,233
8,164,198,254,265,335,403,411,443,455,455,458,453,456,457,454,460,458,467,465,467,461,455,459,456,454,457,446,427,403,242,270,178,177,155,164,150,158,145,150,154,156,158,158,148,145,154,165,192,257,352,400,447,453,460,458,463,472,467,463,434,391,301,258,198,188,173,154,142,137,143,141,152
9,140,140,143,145,141,139,139,136,133,153,192,191,309,316,398,392,413,426,424,432,427,424,385,384,335,328,248,241,198,204,181,171,173,175,197,192,211,217,246,300,347,424,435,457,464,468,472,461,456,455,455,464,461,456,461,461,460,462,458,456,461,451,455,457,435,393,325,269,196,198,166,157
0,156,158,151,144,139,128,129,156,286,376,371,433,449,441,446,452,459,448,453,453,456,449,457,457,451,438,438,409,405,347,316,280,298,279,290,278,285,298,302,318,384,403,417,448,448,461,466,464,463,458,469,463,464,464,465,460,474,467,472,468,465,459,452,419,360,277,201,189,170,178,155,170
1,288,223,276,350,441,440,451,455,458,452,454,459,463,452,461,464,452,458,453,452,457,436,448,448,454,450,457,461,454,464,461,456,449,249,240,171,182,244,447,448,464,467,464,466,469,475,465,466,454,458,460,462,454,453,463,454,459,468,456,454,454,455,454,462,455,463,460,466,469,467,460,429
2,275,255,241,244,235,277,281,347,353,418,410,446,448,449,449,456,452,455,463,454,463,455,450,455,463,457,451,457,331,294,262,172,174,166,155,153,148,153,152,155,156,153,155,302,318,458,458,470,463,463,458,460,464,460,457,464,469,461,468,456,461,456,445,430,393,379,332,307,299,288,282,275
3,265,270,276,281,312,309,377,385,426,434,439,434,438,437,444,440,449,448,453,435,449,428,444,436,438,342,351,226,173,182,140,143,134,127,137,144,155,153,143,135,131,126,128,128,143,146,370,385,424,432,436,437,440,437,448,433,445,454,442,442,450,444,437,416,377,352,337,301,290,271,279,285
4,439,357,216,177,159,153,397,395,426,426,434,424,425,421,427,427,431,426,424,418,427,433,403,398,291,269,349,401,424,393,195,182,159,153,380,401,409,395,363,363,348,365,366,367,321,300,228,229,298,369,441,440,448,453,448,445,447,463,448,452,441,449,447,445,443,444,454,448,454,443,446,444
5,309,299,262,231,174,162,271,370,440,441,446,453,450,445,456,445,458,455,446,446,450,457,434,444,437,436,437,418,410,268,223,190,177,169,158,143,145,157,184,190,167,167,144,145,142,149,201,228,420,439,451,452,450,450,449,450,454,464,463,457,442,430,391,276,209,166,160,148,171,217,261,298
6,155,152,161,160,144,141,142,143,138,161,174,425,428,439,447,448,449,457,450,453,431,420,351,329,236,225,177,177,162,152,149,148,170,161,164,205,207,234,326,325,375,425,430,442,440,453,451,449,451,456,459,459,451,454,455,456,462,451,453,446,442,450,448,447,447,432,405,342,275,218,162,172
7,257,229,205,178,171,150,156,238,448,440,453,450,455,455,461,455,459,462,462,452,459,463,453,456,461,453,457,462,464,462,465,468,475,472,466,474,399,391,230,218,186,218,262,450,464,462,475,468,468,468,467,468,465,462,469,457,468,472,470,463,464,448,424,293,221,164,150,152,153,155,201,229
8,160,184,229,269,360,359,419,444,451,446,459,449,457,453,457,458,457,462,467,458,468,458,455,460,463,452,444,417,397,267,241,204,199,155,156,153,145,148,151,161,146,150,145,152,142,151,152,200,217,363,407,450,456,461,463,466,463,468,466,448,395,319,221,198,188,160,159,147,148,134,143,144
9,154,151,144,140,144,135,135,150,142,145,158,238,249,335,347,408,413,426,420,430,418,413,405,354,333,320,275,238,215,204,192,169,167,171,194,191,207,234,293,291,357,418,453,449,471,467,465,465,465,464,465,457,456,454,462,462,463,466,458,457,454,460,462,457,436,406,319,262,207,194,174,162
