@relation 'numberLight'
@attribute vendor {0,1,2,3,4,5,6,7,8,9}
@attribute light_angle0 real
@attribute light_angle15 real
@attribute light_angle30 real
@attribute light_angle45 real
@attribute light_angle60 real
@attribute light_angle75 real
@attribute light_angle90 real
@attribute light_angle105 real
@attribute light_angle120 real
@attribute light_angle135 real
@attribute light_angle150 real
@attribute light_angle165 real
@attribute light_angle180 real
@attribute light_angle195 real
@attribute light_angle210 real
@attribute light_angle225 real
@attribute light_angle240 real
@attribute light_angle255 real
@attribute light_angle270 real
@attribute light_angle285 real
@attribute light_angle300 real
@attribute light_angle315 real
@attribute light_angle330 real
@attribute light_angle345 real

@data
7,297,205,173,476,502,504,506,506,502,496,491,312,201,464,506,502,504,501,509,502,450,228,291,364
8,228,305,443,492,500,503,500,486,289,185,180,191,210,178,213,439,492,502,505,492,404,256,224,224
9,243,202,168,207,306,374,363,300,240,217,252,317,401,475,496,502,503,492,497,495,495,362,221,187
0,247,197,167,237,340,377,367,257,188,178,244,341,449,495,498,500,506,500,508,505,500,448,241,189
1,332,485,499,501,499,506,507,500,505,501,267,243,478,503,508,501,504,504,504,504,507,505,502,419
2,182,225,396,487,495,498,504,499,460,250,197,200,193,179,359,492,503,502,503,479,337,220,181,188
3,230,311,457,496,504,504,502,495,349,247,179,188,197,195,251,454,495,505,510,498,384,255,210,215
4,269,355,485,497,492,492,489,388,376,312,178,463,480,476,328,287,477,500,498,498,496,497,499,494
5,208,179,470,506,504,499,497,478,320,226,170,189,191,181,262,472,499,500,505,506,486,279,207,241
6,221,258,204,465,484,397,228,184,168,175,180,276,430,490,503,505,506,506,509,504,503,496,416,232
7,177,166,371,494,503,505,501,505,499,498,498,317,198,471,504,506,506,506,510,501,446,254,196,220
8,228,322,450,495,497,505,501,475,293,193,181,195,206,192,217,441,495,504,502,491,379,244,205,206
9,252,201,175,206,327,370,358,314,242,216,240,311,397,477,501,502,497,495,500,497,492,386,198,195
0,308,221,172,197,344,380,357,279,232,225,307,401,469,496,505,499,508,503,504,504,504,438,236,208
1,296,485,500,502,500,506,501,504,505,504,262,281,481,505,502,507,499,494,501,495,502,500,501,332
2,212,238,398,477,494,503,499,500,475,293,189,182,184,169,375,490,502,497,503,487,399,273,214,208
3,320,402,481,498,503,502,505,481,325,207,177,221,222,200,228,470,504,503,507,494,414,315,287,300
4,300,330,482,498,493,490,495,422,383,337,189,466,486,476,352,288,475,496,499,495,500,500,495,497
5,198,187,471,499,503,505,501,477,338,230,181,178,189,171,289,475,500,499,503,503,468,260,198,216
6,287,313,245,479,466,355,239,179,165,180,272,384,462,502,508,506,504,505,503,502,502,491,317,197
7,230,174,297,494,498,505,507,501,504,498,494,301,204,468,500,508,503,503,506,502,448,224,220,275
8,247,334,446,491,499,505,503,475,300,184,183,204,207,188,225,442,495,499,503,496,405,256,233,224
9,230,203,171,221,319,386,361,313,241,212,225,297,388,470,498,505,504,499,499,498,492,375,232,192
0,253,218,180,207,328,367,336,260,193,180,246,351,442,490,502,505,501,505,508,506,500,457,274,182
1,330,487,501,501,505,502,503,504,506,497,296,206,474,500,502,507,505,493,502,496,499,503,502,369
2,223,271,415,490,500,501,501,502,459,256,197,184,174,177,429,496,501,503,506,473,357,238,211,215
3,235,338,467,499,504,505,503,485,352,236,177,178,187,194,269,455,501,503,504,499,369,237,211,216
4,232,350,487,497,492,496,491,418,446,304,186,465,487,475,391,291,468,499,501,500,497,503,496,464
5,320,213,347,497,500,500,504,477,279,199,190,254,243,190,225,476,505,501,501,505,496,339,313,370
6,309,327,240,477,461,345,239,181,174,172,278,393,463,498,502,504,507,503,509,504,508,492,320,202
7,212,178,368,489,504,503,500,504,499,499,491,305,209,476,504,506,506,500,506,507,451,239,224,266
8,281,337,462,493,498,497,502,475,307,185,188,218,206,186,215,432,492,502,503,497,411,288,248,254
9,256,188,166,214,346,390,382,338,258,233,274,329,404,482,497,500,497,498,493,497,492,320,194,201
0,261,219,175,214,347,383,368,268,208,193,260,362,453,496,505,502,508,501,502,507,501,440,245,186
1,264,484,497,499,504,502,501,503,501,501,282,233,481,505,505,504,499,500,499,502,500,505,498,344
2,207,252,415,489,501,499,503,502,466,272,198,180,175,168,409,496,504,498,501,474,352,241,208,202
3,195,322,476,499,500,499,500,489,394,265,184,178,193,192,272,452,497,506,508,491,342,212,196,192
4,231,403,486,493,494,490,496,409,452,334,212,468,487,477,420,296,477,498,504,496,501,503,502,442
5,203,172,454,502,500,499,501,472,330,225,171,188,181,169,257,474,501,501,507,498,496,283,207,234
6,255,323,244,477,485,370,236,192,166,166,236,336,461,496,503,504,504,501,500,499,497,492,360,217
7,216,178,328,491,501,504,500,505,501,501,489,317,204,478,502,501,507,505,505,507,432,220,221,268
8,235,321,449,495,502,500,500,479,317,191,174,199,192,186,219,436,493,502,508,492,376,253,208,219
9,206,192,168,225,315,382,355,298,216,198,207,256,376,461,495,502,499,493,497,494,494,374,226,184
